m/z,I,S/N
344.11396,1.3568,10.54
344.12207,1.7553,13.67
344.1432,1.7539,13.66
344.759,9.7175,76.12
344.79935,2.5657,20.02
344.83573,1.395,10.84
345.0252,6.822,53.41
345.03828,1.2677,9.84
345.04047,1.2512,9.71
345.04634,5.6168,43.96
345.06159,15.4446,121.04
345.06497,2.329,18.17
345.0728,1.2974,10.08
345.07466,2.3477,18.31
345.07684,1.2573,9.76
345.08272,11.5352,90.37
345.09798,14.6766,115.01
345.10135,2.9387,22.95
345.11105,1.7618,13.72
345.11911,6.4952,50.84
345.13436,12.148,95.18
345.17075,4.7051,36.8
346.02856,1.3702,10.65
346.05683,3.3818,26.43
346.06494,2.8921,22.58
346.08607,1.8187,14.17
346.09323,3.2162,25.13
346.10133,3.3969,26.54
346.1296,1.3787,10.71
346.13771,2.5585,19.97
346.17408,1.3179,10.24
346.75694,11.002,86.19
346.79729,1.905,14.84
346.83367,1.3236,10.28
347.00448,1.6652,12.96
347.03843,1.2904,10.02
347.04085,16.6152,130.22
347.04423,1.6148,12.57
347.05209,1.2327,9.57
347.05391,2.5676,20.04
347.05612,2.7533,21.5
347.06198,1.7846,13.9
347.07485,1.3496,10.49
347.07724,25.5935,200.64
347.08061,2.3161,18.07
347.08848,1.8427,14.35
347.09031,2.3797,18.57
347.0925,1.5286,11.89
347.09837,2.3977,18.71
347.11362,24.7476,194
347.11701,1.5673,12.19
347.12487,1.2495,9.7
347.15001,15.249,119.5
347.1864,3.6199,28.29
347.7603,1.199,9.31
348.0361,2.4185,18.87
348.04421,3.156,24.65
348.07249,4.5446,35.55
348.0806,4.8281,37.77
348.10887,3.0366,23.72
348.11699,4.6476,36.35
348.14526,1.4235,11.07
348.15337,2.7839,21.74
348.75491,3.0464,23.79
348.95404,3.3847,26.45
349.02012,7.287,57.05
349.03538,2.7288,21.3
349.0541,1.1689,9.07
349.0565,24.9449,195.55
349.05988,1.2353,9.59
349.06773,1.6589,12.91
349.07177,3.4382,26.87
349.07585,1.408,10.94
349.09289,32.8051,257.2
349.09628,1.3212,10.26
349.10413,1.8981,14.79
349.10814,1.8693,14.56
349.12928,30.9147,242.37
349.15856,2.8486,22.24
349.16567,11.3289,88.76
349.9536,1.2065,9.36
350.05175,3.33,26.02
350.05987,3.7901,29.63
350.08815,3.7945,29.66
350.09625,5.5879,43.73
350.12452,1.8809,14.65
350.13263,5.5309,43.28
350.16902,2.3019,17.96
350.36534,1.641,12.77
350.37105,1.2151,9.43
350.37409,1.3413,10.42
350.37648,1.3635,10.6
350.41741,1.3455,10.45
350.43884,1.2877,10
350.44121,1.3957,10.85
350.4445,1.3332,10.36
350.44578,1.2181,9.46
350.44616,1.2439,9.66
350.99941,1.2073,9.37
351.03577,15.2454,119.47
351.05102,4.2045,32.88
351.07216,34.2238,268.33
351.08339,1.6732,13.02
