"M_cal";"MF";"C";"H";"N";"O";"P";"S";"O/C";"H/C";"N/C";"S/C";"DBE";"AI";"NOSC";"n_occurrence";"BottomWater";"NPEqIW";"SRNOM";"U1382A";"U1383C_Deep";"U1383C_Middle";"U1383C_Shallow"
428.14309497808;"C18H24N2O10";18;24;2;10;0;0;0.556;1.333;0.1111;0;8;-0.7;0.11;2;5.66357;0;0;0;0;4.70933;0
428.14711773008;"C23H24O8";23;24;0;8;0;0;0.348;1.043;0;0;12;0.3;-0.35;1;0;0;10.3579;0;0;0;0
428.16824709814;"C20H28O10";20;28;0;10;0;0;0.5;1.4;0;0;7;-0.3;-0.4;7;53.55789;47.28139;21.09477;32.72799;31.08469;31.6483;44.5651
428.18350323943;"C24H28O7";24;28;0;7;0;0;0.292;1.167;0;0;11;0.2;-0.58;1;0;0;6.13321;0;0;0;0
428.20463260749;"C21H32O9";21;32;0;9;0;0;0.429;1.524;0;0;6;-0.2;-0.67;6;13.41378;9.90274;0;7.27587;6.56382;6.78709;10.45721
429.12711056099;"C18H23NO11";18;23;1;11;0;0;0.611;1.278;0.0556;0;8;-0.7;0.11;4;8.76955;0;0;5.74809;6.23426;0;7.01414
430.05361126649;"C20H14O11";20;14;0;11;0;0;0.55;0.7;0;0;14;0.3;0.4;1;0;0;15.60594;0;0;0;0
430.07474063455;"C17H18O13";17;18;0;13;0;0;0.765;1.059;0;0;9;-1;0.47;2;6.32997;0;21.62264;0;0;0;0
430.08999677584;"C21H18O10";21;18;0;10;0;0;0.476;0.857;0;0;13;0.3;0.1;1;0;0;17.68294;0;0;0;0
430.1111261439;"C18H22O12";18;22;0;12;0;0;0.667;1.222;0;0;8;-0.7;0.11;7;30.57916;10.97307;24.49522;18.09665;19.24742;17.46716;23.22637
430.12638228519;"C22H22O9";22;22;0;9;0;0;0.409;1;0;0;12;0.2;-0.18;1;0;0;15.50102;0;0;0;0
430.12975358851;"C19H26O9S";19;26;0;9;0;1;0.474;1.368;0;0.0526;7;-0.3;-0.32;1;0;7.23032;0;0;0;0;0
430.14751165325;"C19H26O11";19;26;0;11;0;0;0.579;1.368;0;0;7;-0.5;-0.21;7;35.33301;27.81448;15.92561;18.96193;20.15809;18.73717;26.61618
430.16276779454;"C23H26O8";23;26;0;8;0;0;0.348;1.13;0;0;11;0.2;-0.43;7;4.83459;4.31268;11.84107;5.55302;4.1141;4.21292;5.20024
430.1838971626;"C20H30O10";20;30;0;10;0;0;0.5;1.5;0;0;6;-0.4;-0.5;6;15.1252;11.50245;0;7.65982;6.82762;7.19255;10.80372
432.0328758216;"C19H12O12";19;12;0;12;0;0;0.632;0.632;0;0;14;0.3;0.63;1;0;0;10.53316;0;0;0;0
432.06926133095;"C20H16O11";20;16;0;11;0;0;0.55;0.8;0;0;13;0.2;0.3;1;0;0;24.90296;0;0;0;0
432.09039069901;"C17H20O13";17;20;0;13;0;0;0.765;1.176;0;0;8;-1.2;0.35;2;6.1527;0;11.98078;0;0;0;0
432.1056468403;"C21H20O10";21;20;0;10;0;0;0.476;0.952;0;0;12;0.2;0;7;4.6851;4.79364;25.20885;5.27426;5.07052;4.74001;5.58241
432.12677620836;"C18H24O12";18;24;0;12;0;0;0.667;1.333;0;0;7;-0.8;0;7;16.5962;6.1034;9.56987;7.57033;8.37852;7.0823;10.34015
432.14203234965;"C22H24O9";22;24;0;9;0;0;0.409;1.091;0;0;11;0.2;-0.27;7;10.65354;10.22846;22.81458;12.46964;11.0706;10.8874;12.27608
432.15326573894;"C21H24N2O8";21;24;2;8;0;0;0.381;1.143;0.0952;0;11;0.1;-0.1;4;0;0;0;5.09458;5.60822;4.65411;3.30743
432.16316171771;"C19H28O11";19;28;0;11;0;0;0.579;1.474;0;0;6;-0.6;-0.32;7;11.41218;7.78212;3.48589;4.9597;5.07368;5.06491;7.29595
432.178417859;"C23H28O8";23;28;0;8;0;0;0.348;1.217;0;0;10;0.1;-0.52;7;11.19873;8.84447;16.09781;12.24227;9.51112;9.69933;11.69218
432.21480336835;"C24H32O7";24;32;0;7;0;0;0.292;1.333;0;0;9;0.1;-0.75;3;4.47076;0;0;4.56096;0;0;4.17951
433.1008958125;"C20H19NO10";20;19;1;10;0;0;0.5;0.95;0.05;0;12;0.1;0.2;1;0;0;4.89718;0;0;0;0
433.13728132185;"C21H23NO9";21;23;1;9;0;0;0.429;1.095;0.0476;0;11;0.1;-0.1;6;3.82674;4.18614;0;5.19077;5.35617;4.63422;3.98722
433.1736668312;"C22H27NO8";22;27;1;8;0;0;0.364;1.227;0.0455;0;10;0.1;-0.36;1;0;0;0;3.89515;0;0;0
434.04852588606;"C19H14O12";19;14;0;12;0;0;0.632;0.737;0;0;13;0.1;0.53;1;0;0;25.32361;0;0;0;0
434.08491139541;"C20H18O11";20;18;0;11;0;0;0.55;0.9;0;0;12;0.1;0.2;6;4.97518;0;36.80694;5.09418;5.58779;4.81107;5.44379
434.12129690476;"C21H22O10";21;22;0;10;0;0;0.476;1.048;0;0;11;0.1;-0.1;7;19.34995;18.77153;36.07503;23.05235;22.41347;20.53635;22.48994
434.13253029405;"C20H22N2O9";20;22;2;9;0;0;0.45;1.1;0.1;0;11;0;0.1;6;7.7598;5.69847;0;11.51218;12.24363;10.42038;7.62834
434.15768241411;"C22H26O9";22;26;0;9;0;0;0.409;1.182;0;0;10;0.1;-0.36;7;28.49242;26.29837;35.53458;33.83843;29.41675;28.70637;31.78651
