m/z,I,S/N,Res.
349.0565,24.9449,195.55,2167817
349.05988,1.2353,9.59,2274407
349.06773,1.6589,12.91,1770669
349.07177,3.4382,26.87,1992575
349.07585,1.408,10.94,1732164
349.09289,32.8051,257.2,2191367
349.09628,1.3212,10.26,2463801
349.10413,1.8981,14.79,2304141
349.10814,1.8693,14.56,2096167
349.12928,30.9147,242.37,2152708
349.15856,2.8486,22.24,2219906
349.16567,11.3289,88.76,2263932
349.9536,1.2065,9.36,1924393
350.05175,3.33,26.02,1905509
350.05987,3.7901,29.63,2154670
350.08815,3.7945,29.66,2099421
350.09625,5.5879,43.73,2178192
350.12452,1.8809,14.65,2460468
350.13263,5.5309,43.28,2194844
