m/z,I,S/N,Res.
340.14825,1.481,23.94,2452530
340.15139,0.6702,10.63,2338371
340.16351,0.8784,14.05,2157914
340.18463,0.4698,7.34,1322846
340.82209,0.5605,8.83,1956604
340.88523,2.3299,37.87,2459138
341.0514,0.6483,10.27,2229858
341.08777,4.8377,79.03,2332092
341.09095,0.4808,7.52,2037906
341.09901,2.4453,39.77,2309379
341.10301,0.6574,10.42,1942393
341.10711,0.7074,11.24,2664617
341.11426,0.6106,9.65,2008799
341.12416,7.4903,122.57,2345494
341.13539,2.0718,33.64,2293744
341.13942,0.9232,14.78,2102835
341.14349,0.4052,6.28,2034859
341.15066,0.5008,7.85,1884659
341.16054,2.7019,43.98,2283903
341.1758,0.6067,9.59,2229342
342.08302,0.8559,13.68,2941300
342.09112,0.6687,10.61,1960358
342.10236,0.4304,6.7,2292839
342.10949,0.5055,7.93,2053285
342.11941,1.6394,26.54,2206015
342.12751,0.9801,15.72,2183917
342.13466,0.6001,9.48,2081076
342.13877,0.4146,6.44,2453548
342.14589,0.4904,7.68,2139552
342.16389,0.4444,6.93,2190723
342.761,1.2611,20.33,2199141
342.80136,0.6713,10.65,2189016
342.82005,0.638,10.1,1696567
342.83774,0.7092,11.27,2281269
342.88319,0.989,15.86,2258223
343.06704,1.2031,19.38,2090208
343.08229,0.5509,8.67,2005048
343.09353,0.4758,7.44,1784678
343.10343,3.4039,55.5,2211131
343.1066,0.4874,7.63,2224716
343.11467,0.725,11.53,1753777
343.11868,1.2727,20.52,2147466
343.12991,0.9415,15.08,2144305
343.13981,2.1688,35.23,2208348
343.15507,1.7616,28.55,2366236
343.17619,0.4227,6.57,1862877
343.19143,0.6585,10.44,2152289
343.21259,0.4077,6.32,2789802
344.08878,0.4846,7.59,2119364
344.09868,0.5952,9.4,2085872
344.10677,0.6098,9.64,2190147
344.11393,0.6884,10.93,2276354
344.12517,1.2227,19.7,2080237
344.13505,0.4153,6.45,2030690
344.14316,0.4532,7.07,1219144
344.15032,0.5978,9.44,2826550
344.16155,0.5495,8.65,2533644
344.75896,3.6011,58.73,2270388
344.79931,1.1812,19.02,2152112
344.81799,0.5575,8.78,1626511
344.83569,1.4672,23.71,2546702
345.06155,0.4581,7.15,2266055
345.06492,0.4276,6.65,2253034
345.07461,0.4264,6.63,1675533
345.0827,1.0916,17.55,2255110
345.09795,1.7334,28.08,2177222
345.10132,0.4218,6.56,2135752
345.10918,1.8713,30.35,2289769
345.11907,1.4761,23.86,2170527
345.13433,3.4857,56.84,2196693
345.14557,1.5365,24.85,2214741
345.15545,0.5931,9.37,1774082
345.17072,2.3044,37.45,2179851
345.20708,0.5327,8.37,1181276
345.61276,0.404,6.26,1945996
345.7623,0.4541,7.08,1884827
346.09319,1.0127,16.25,2343320
346.10131,0.4191,6.51,1778513
346.10443,1.686,27.3,2305397
346.11253,0.5881,9.28,1420399
346.12957,1.6147,26.13,2461808
346.13768,0.8408,13.43,2257142
346.14081,2.5525,41.52,2179786
346.15147,0.4079,6.33,2499570
346.16596,0.7271,11.57,2338391
346.17407,0.5135,8.06,1204736
346.1772,0.4173,6.48,1804714
346.75691,4.195,68.48,2422633
346.7746,0.6221,9.84,2596232
346.79635,0.5181,8.14,1696603
346.79726,0.7264,11.55,2100565
346.83274,0.6594,10.45,2216119
346.83364,0.8829,14.12,2417813
347.07721,1.5848,25.64,2231874
347.08058,0.4418,6.88,2432237
347.08844,2.4195,39.34,2213760
347.09834,0.6441,10.2,1582700
347.11359,5.9876,97.9,2326707
347.12483,5.2604,85.97,2358319
347.13292,0.4948,7.75,1371358
347.13606,0.5002,7.84,2091956
347.14417,0.5435,8.55,2419856
347.14998,7.6859,125.78,2291320
347.16121,1.6183,26.19,2176868
347.18636,2.2783,37.02,2295726
348.07244,0.7053,11.21,2124626
348.08369,0.9229,14.78,2085807
348.09179,0.5306,8.34,1277659
348.10884,3.1639,51.56,2268903
348.11695,1.2518,20.18,2103343
348.12007,4.0983,66.89,2329391
348.12817,0.9162,14.67,2370143
348.14523,2.5861,42.08,2166647
348.15333,1.416,22.87,2254319
348.15646,1.7427,28.23,2181876
348.18163,0.5833,9.2,2173765
348.18972,0.4582,7.15,1997646
348.75487,1.2444,20.06,2240756
348.77257,0.7124,11.32,2335480
349.05648,0.4151,6.45,2454938
349.06771,0.9153,14.65,2599632
349.09286,4.5753,74.72,2263688
349.10409,7.1394,116.81,2232515
349.1122,0.5357,8.42,1700047
349.11535,0.5416,8.52,2126742
349.12342,0.6995,11.11,2078522
349.12924,11.3978,186.7,2282139
349.14048,5.1974,84.93,2285113
349.14858,0.4624,7.22,2193719
349.16563,6.9351,113.45,2242339
349.17684,0.5127,8.05,1796087
349.20202,0.8875,14.2,2233640
350.08811,2.7724,45.13,2143540
350.09622,0.8453,13.5,2135854
350.09934,2.7428,44.65,2179041
350.10744,1.266,20.41,2083787
350.1245,4.5939,75.03,2226392
350.1326,2.1704,35.25,2240511
350.13573,3.508,57.21,2165465
350.14382,0.9262,14.83,2058822
350.16088,1.7857,28.94,2155994
350.16899,1.4238,23,2137567
350.39571,0.437,6.8,2390475
350.39812,0.4193,6.51,2373755
350.4003,0.4477,6.98,1254296
350.40062,0.4188,6.51,1911568
350.40489,0.4379,6.82,2531221
350.40756,0.4333,6.74,1441721
350.41075,0.5469,8.61,1621071
350.41648,0.4252,6.61,2999765
350.42004,0.5987,9.46,871587
350.42197,0.5054,7.93,2076569
350.42332,0.4396,6.85,1592190
350.42369,0.7027,11.17,1301464
350.4247,0.4712,7.36,2392620
350.42552,0.4952,7.76,2644177
350.42791,0.4159,6.46,1623602
350.42892,0.5423,8.53,2039174
350.44538,0.4126,6.4,2303951
350.77052,0.4112,6.38,1973378
350.85088,0.5895,9.31,2215185
351.07212,2.4519,39.87,2259030
351.08335,4.4119,72.04,2232894
351.09144,0.5251,8.25,2168510
351.1027,0.5622,8.86,2396338
351.10851,12.3746,202.73,2243869
351.11974,11.4599,187.72,2252142
351.12785,0.8054,12.85,2205973
351.13098,0.6032,9.53,2184087
351.13908,0.6846,10.87,2029472
351.14489,15.2175,249.39,2247164
351.15613,2.9545,48.12,2245117
351.16422,0.536,8.43,1664841
351.18128,3.8829,63.36,2294385
351.21766,0.4518,7.05,2189986
352.06738,1.4632,23.65,2185844
352.07546,0.6164,9.75,1582306
352.07861,0.5377,8.46,2282479
352.08671,0.9285,14.87,2273740
352.10375,5.8301,95.32,2243346
352.11186,2.6262,42.73,2184706
352.11499,3.6045,58.79,2353351
352.1231,2.1536,34.98,2153386
352.14014,4.5783,74.77,2181885
352.14825,3.2807,53.48,2178819
352.15137,1.505,24.33,1975173
352.15949,0.4687,7.32,2329065
352.17653,1.0123,16.25,2274821
352.18464,0.8102,12.93,2250861
352.84885,1.0349,16.62,2289946
352.85819,0.4994,7.83,2004077
353.0514,0.7683,12.24,2154736
353.06263,0.6138,9.71,2176471
353.08779,8.7536,143.3,2217115
353.09097,0.4093,6.35,1896864
353.09902,8.7522,143.28,2300494
353.10713,1.1644,18.74,2252376
353.11837,0.6765,10.74,2533611
353.12252,0.6253,9.9,1945403
353.12275,0.5272,8.29,360726
353.12301,0.5408,8.51,339192
353.12418,19.2729,315.95,2257103
353.13541,6.6572,108.89,2200462
353.13942,0.574,9.05,2574541
353.1435,0.8087,12.91,2437506
353.16056,10.933,179.07,2281495
353.1718,0.8483,13.56,2239787
353.17581,0.5209,8.18,2030282
353.19695,1.3447,21.7,2109659
354.08303,3.4069,55.55,2378019
354.09114,1.546,25.01,2194173
354.09427,0.8674,13.87,2492077
354.10237,1.3905,22.45,2335368
