m/z,I,S/N,Res.
349.16394,0.4672,5.96,2431929
349.16417,0.4324,5.48,323294
349.16566,13.1849,180.6,2212927
349.17691,0.4485,5.7,1493635
349.20205,2.0178,27.25,2136807
349.22929,0.4851,6.2,2108725
349.95361,0.6938,9.07,1537911
350.05178,0.4707,6.01,2085488
350.08814,4.5789,62.42,2146046
350.09625,2.1947,29.68,2178750
350.09937,1.797,24.22,2171486
350.10748,1.0742,14.29,2284198
350.12453,6.1525,84.03,2197468
350.13263,5.0985,69.56,2248113
350.13575,1.9487,26.3,2223426
350.14386,0.8997,11.9,2173194
350.16091,1.9715,26.62,2177472
350.16902,2.7971,37.95,2296100
350.17213,0.4323,5.48,1857676
350.33454,0.4194,5.3,1475178
350.35352,0.438,5.56,1444768
350.35548,0.4982,6.38,1283763
350.36577,0.4263,5.4,1508522
350.36613,0.4666,5.95,2169976
350.3721,0.5097,6.54,2086158
350.37324,0.4378,5.55,2059393
350.37728,0.4239,5.36,1318925
350.38512,0.4693,5.99,850722
350.43167,0.4256,5.39,2268533
350.43967,0.4358,5.53,1194605
350.44215,0.5007,6.42,1471928
350.44299,0.4286,5.43,1937413
350.44655,0.469,5.98,998072
350.44741,0.4983,6.38,1988182
350.44874,0.4608,5.87,1688365
350.46151,0.5393,6.95,1129038
350.46199,0.4702,6,1528926
350.95088,0.4478,5.69,1710912
351.07215,7.778,106.35,2255062
351.08338,4.8814,66.58,2247198
351.0915,0.8183,10.78,2221454
351.10854,33.3473,457.49,2271123
