m/z,I,S/N,Res.
337.16566,4.9221,80.86,2287443
337.1843,0.5915,9.31,2032725
337.20206,0.5692,8.94,1535191
338.08814,3.3785,55.35,2298513
338.09625,0.6015,9.47,2521337
338.09937,1.7944,29.18,2243146
338.10748,1.676,27.23,2251984
338.12452,4.2049,69.01,2309543
338.13263,1.7274,28.08,2162106
338.13576,2.3229,37.91,2330986
338.14386,1.0605,17.06,2198816
338.16091,1.0619,17.08,2396435
338.16902,1.0958,17.64,1798605
338.76554,0.6205,9.79,2112589
338.83323,0.5248,8.21,2247220
339.07215,2.403,39.24,2310226
339.08339,2.8151,46.05,2344736
339.09149,0.6592,10.43,2116831
339.10854,9.4455,155.59,2279381
339.11977,8.4914,139.83,2297955
339.12379,0.6261,9.88,1994810
339.12787,0.8476,13.54,2303407
339.13099,0.4104,6.32,2147524
339.13913,0.4537,7.03,2393724
339.14493,7.9089,130.2,2303637
339.15616,1.37,22.17,2142749
339.16018,2.0667,33.68,2137624
339.16355,0.5529,8.67,2409502
339.18131,1.6315,26.49,2321072
339.19483,0.4958,7.73,91109
339.19515,0.4167,6.42,313612
339.19994,23.3386,385.12,2305777
339.79973,0.5405,8.47,2141199
340.0674,0.8493,13.57,2506962
340.07549,0.4875,7.59,1983972
340.10379,4.1829,68.64,2264902
340.11189,1.6629,27.01,2435967
340.11502,1.3785,22.31,2368948
340.12313,1.4827,24.03,2355995
340.14018,2.0993,34.22,2212660
340.14827,1.3443,21.75,2187368
340.15141,0.5589,8.77,2267120
340.16353,0.5716,8.98,2114574
340.20329,5.0571,83.09,2261351
340.88525,0.5958,9.38,1879669
341.05141,0.6531,10.33,2071998
341.0878,5.1024,83.84,2309300
341.09096,0.4264,6.58,2464259
341.09904,2.3823,38.9,2251941
341.10306,0.5505,8.63,2510887
341.10715,0.5697,8.95,2668249
341.11429,1.0489,16.87,2176084
341.12418,7.5045,123.52,2279938
341.13542,2.2676,37,2288386
341.13944,0.9547,15.31,2210187
341.14282,0.4296,6.63,2556289
341.15066,0.4711,7.32,2141417
341.16057,2.5112,41.03,2300804
341.17919,0.9603,15.4,1822698
341.19574,0.958,15.36,2323406
341.20665,0.5076,7.92,2339866
341.79681,0.4325,6.68,1788313
341.79769,0.5413,8.48,2098161
342.08305,1.1805,19.04,2344239
342.09116,0.761,12.11,2136623
342.09431,0.4805,7.48,1775871
342.09831,0.4018,6.18,2487642
342.1024,0.4126,6.35,1817038
342.10953,0.4705,7.31,2461551
342.11944,1.721,27.97,2278994
342.12754,1.3239,21.41,2316184
342.13471,0.522,8.16,1775683
342.14592,0.5982,9.42,1737850
342.15583,0.4709,7.32,2516786
342.16391,0.4748,7.38,1758859
342.76103,0.499,7.78,2557490
343.06706,1.2517,20.22,2170596
343.08233,0.5315,8.32,2139038
343.08571,0.4644,7.21,2591767
343.09356,0.5462,8.56,1974357
343.09694,0.4366,6.75,2471688
343.10346,3.9725,65.17,2252852
343.10662,0.4438,6.87,2521060
343.11468,0.7353,11.69,2353444
343.11872,1.2041,19.43,2351036
343.12995,1.1505,18.54,2355821
343.13984,2.5702,42,2170249
343.1551,1.7789,28.93,2176693
343.16634,0.5327,8.34,2307683
343.19148,0.596,9.38,2224404
343.21261,3.3956,55.64,2185804
344.09873,0.6874,10.89,1762862
344.1068,0.7069,11.22,1422654
344.11396,0.7968,12.7,2137344
344.1252,1.2851,20.77,2467870
344.14321,0.4547,7.05,2096092
344.15034000000003,0.7965,12.7,2274301
344.16157,0.5852,9.21,1916943
344.21597,0.6652,10.53,2326663
344.75899,2.0769,33.85,2308796
344.83572,0.5935,9.34,2182750
345.06498,0.5027,7.84,2465406
345.07284,0.4429,6.85,2732392
345.08272,1.0668,17.16,2272224
345.08589,0.4255,6.57,2391974
345.09797,1.9462,31.69,2150715
345.10134,0.5101,7.96,2083472
345.10921,2.3205,37.87,2170794
345.11105,0.5031,7.85,2095691
345.11731,0.428,6.61,2112637
345.11911,1.7082,27.76,2247739
345.13436,3.7655,61.75,2163164
345.14559,1.6642,27.03,2301614
345.1555,0.6287,9.92,1718531
345.17075,2.205,35.97,2286556
345.20714,0.5882,9.26,1863488
345.22826,1.2995,21.01,1758666
346.08609,0.445,6.89,2005964
346.09322,1.4185,22.97,1959139
346.10445,1.8927,30.81,2393824
346.11258,0.4797,7.46,1814462
346.12961,1.9576,31.88,2222953
346.13772,0.775,12.34,2476885
346.14084,2.75,44.97,2088961
346.1489,0.4671,7.25,1454990
346.16598,0.7012,11.12,2256649
346.1741,0.5288,8.27,2497239
346.75695,2.1434,34.95,2301432
346.87869,0.5374,8.42,1933690
347.07724,1.6664,27.07,2187241
347.08062,0.4457,6.9,2306376
347.08847,2.6459,43.25,2176686
347.09031,0.4877,7.6,2327194
347.09836,0.6582,10.41,2312092
347.11362,5.8881,96.82,2251933
347.12485,6.0787,99.96,2229919
347.13295,0.4608,7.15,1042530
347.13477,0.5133,8.02,2164021
347.13609,0.4857,7.56,2386041
347.1442,0.4097,6.31,1940258
347.15001,6.8936,113.43,2190981
347.16124,1.7755,28.87,2105285
347.18639,2.1876,35.68,2117168
348.07249,0.9238,14.8,2332706
348.08372,0.9407,15.08,2046519
348.09182,0.5088,7.94,2173713
348.10887,2.9568,48.39,2232246
348.11698,1.0268,16.5,1954271
348.1201,4.7131,77.4,2207679
348.12821,1.0889,17.53,2040966
348.14526,2.5887,42.31,2168608
348.15337,1.2699,20.52,2229369
348.15649,1.9549,31.83,2205284
348.18164,0.674,10.67,1734280
348.7549,0.598,9.42,2190884
349.05651,0.7034,11.16,1995535
349.06774,0.8111,12.94,2401417
349.09289,4.7229,77.57,2169399
349.10412,8.5493,140.78,2189066
349.11223,0.5352,8.38,2278618
349.11536,0.4674,7.26,2232643
349.12347,0.9461,15.17,2007235
349.12928,11.3798,187.55,2179339
349.14051,5.975,98.25,2130434
349.14862,0.4615,7.16,2403535
349.16566,6.6445,109.31,2216857
349.17689,0.6867,10.88,2428477
349.20204,1.0316,16.58,2127809
350.08813,3.0605,50.1,2139883
350.09624,0.7784,12.4,2072339
350.09937,3.2791,53.71,2287610
350.10748,1.638,26.6,2236861
350.12452,5.002,82.18,2166673
350.13263,2.1816,35.58,2155830
350.13576,4.2965,70.52,2227978
350.14386,1.2835,20.74,2080806
350.1609,1.793,29.16,2258562
350.16901,1.4644,23.73,2129798
350.17215,0.5581,8.76,2393931
350.41144,0.4724,7.34,1691138
350.41216,0.4019,6.18,3580577
350.417,0.5868,9.23,2256877
350.41862,0.4178,6.44,1731821
350.42119,0.4006,6.16,1459608
350.42334,0.5547,8.7,1384786
350.42421,0.6812,10.79,1686365
350.42489,0.4877,7.59,2102531
350.42605,0.6847,10.85,2504166
350.42647,0.4195,6.47,972569
350.42987,0.4676,7.26,1686220
350.43046,0.4399,6.81,1603084
350.43197,0.588,9.25,1224682
350.43249,0.4559,7.07,1189803
350.43334,0.4827,7.51,1990924
350.43571,0.4235,6.53,2019892
350.43881,0.4123,6.35,1669689
350.43926,0.5036,7.86,2278778
350.44112,0.4238,6.54,1248802
350.4429,0.5687,8.93,1491123
350.4433,0.4909,7.65,2476188
350.44389,0.5497,8.62,957509
350.44438,0.4651,7.22,2511648
350.44579,0.4589,7.12,1343057
350.44613,0.4182,6.45,1383808
350.44663,0.4686,7.28,2306380
350.44777,0.5076,7.92,1303210
350.4496,0.4373,6.76,2170944
350.4516,0.4027,6.19,1716304
350.45494,0.5218,8.16,1706623
350.45676,0.4478,6.94,1639431
351.07215,2.9393,48.1,2208009
351.08338,4.7136,77.41,2175827
351.09149,0.7028,11.15,2108510
351.10273,0.7304,11.6,2518370
351.10854,13.0353,214.9,2177043
351.11977,12.9909,214.17,2113961
351.12025,0.4556,7.06,25275502
351.12788,0.9727,15.61,2444996
351.13099,0.6816,10.8,1771908
351.13911,0.9553,15.32,2150532
351.14492,14.8657,245.14,2090817
351.15615,3.1724,51.95,2147308
351.16424,0.4925,7.67,1760796
351.1813,3.7212,61.02,2163924
351.22108,0.4235,6.53,1636434
