m/z,I,S/N,Res.
329.90739,0.4814,7.42,1199480
330.09834,0.5996,9.31,1432107
330.10957,0.8154,12.77,2269529
330.13472,0.6693,10.43,2698567
330.14597,0.6507,10.13,2439751
330.8015,0.7418,11.59,2378270
330.80241,1.3656,21.58,2374452
330.81919,0.4755,7.33,1827299
330.8201,1.7482,27.71,2517855
331.08235,0.7333,11.45,2475725
331.09359,1.1158,17.58,2286416
331.10348,0.8284,12.98,2182602
331.11874,2.2113,35.12,2227734
331.12997,1.7857,28.31,2295243
331.15513,2.7388,43.57,2330792
331.16636,0.4609,7.09,2385762
331.19151,1.0796,17,2128787
331.32025,0.681,10.62,1901385
332.08882,0.7255,11.33,1692420
332.11399,1.2834,20.26,2461242
332.12209,0.6838,10.66,2030541
332.12522,2.3533,37.4,2330604
332.15037,1.0016,15.75,2279907
332.15848,0.6238,9.7,2167298
332.1616,0.5175,8,1843734
332.77261,1.9976,31.7,2204327
332.79945,0.5752,8.92,2583069
332.81715,0.5492,8.51,2250500
332.81805,1.0017,15.75,2181794
333.00369,0.5427,8.4,1669792
333.00474,0.6438,10.02,1409904
333.00865,0.5122,7.91,1737136
333.01038,0.5269,8.15,2361365
333.01184,0.59,9.16,1889358
333.01528,0.8219,12.87,2071491
333.01636,0.6018,9.35,1998934
333.01864,0.4942,7.63,5375843
333.01887,0.5083,7.85,807214
333.02116,0.5985,9.3,1814391
333.02469,0.5439,8.42,1685492
333.0254,0.5032,7.77,1599675
333.03143,0.9063,14.22,1203182
333.0324,0.5486,8.5,1758553
333.03491,0.4724,7.28,1752535
333.03965,0.5138,7.94,1921964
333.0403,0.4527,6.96,1491363
333.04156,0.5305,8.21,1656015
333.04198,0.7253,11.33,1150187
333.0428,0.455,7,2129356
333.06161,0.6807,10.61,2521156
333.07286,0.7002,10.92,2546091
333.098,2.6913,42.81,2344822
333.10923,3.9337,62.7,2303919
333.13439,6.6159,105.65,2405764
333.14562,2.292,36.41,2402169
333.17077,3.6753,58.57,2322486
